Cluster,Voxels,Volume_ml,Peak_Z,Peak_x,Peak_y,Peak_z,Hemisphere,Dominant_ROI,COM_x,COM_y,COM_z
1,90,0.7199999999999999,-2.8998942375183105,38.0,38.0,20.0,Left,Right Cerebral White Matter,41.93333333333333,29.75555555555556,22.511111111111106
2,333,2.6639999999999997,-3.8726937770843506,26.0,8.0,-2.0,Left,Right Putamen,27.03903903903904,2.12012012012012,-0.9189189189189193
3,66,0.5279999999999999,-3.143869161605835,14.0,6.0,16.0,Left,Right Caudate,12.63636363636364,12.151515151515156,9.484848484848484
4,276,2.2079999999999997,-2.884748697280884,6.0,-46.0,34.0,Left,Right PCu precuneus,5.753623188405797,-52.528985507246375,34.231884057971016
5,83,0.6639999999999999,-2.836948871612549,-12.0,-66.0,18.0,Right,Left PCu precuneus,-10.04819277108433,-66.21686746987952,23.66265060240964
6,74,0.5919999999999999,-3.2268593311309814,-12.0,14.0,8.0,Right,Left Caudate,-11.837837837837839,11.405405405405403,8.486486486486484
7,333,2.6639999999999997,-3.6847236156463623,-26.0,0.0,4.0,Right,Left Putamen,-26.444444444444443,0.07807807807807876,-0.5405405405405475
8,54,0.4319999999999999,-2.6524689197540283,-28.0,52.0,4.0,Right,Left MFG middle frontal gyrus,-31.555555555555557,51.55555555555554,7.0
