ROI,Index,Voxels,PET_mean,Z_mean
Right PCgG posterior cingulate gyrus,166,625,1.2753890909371033,1.0266023874282837
Left PCgG posterior cingulate gyrus,167,679,1.2396926124018701,0.8935320377349854
Right PCu precuneus,168,1703,1.2618521996847882,0.9761391878128052
Left PCu precuneus,169,1585,1.2261037551743557,0.8428752422332764
Right PHG parahippocampal gyrus,170,426,0.75866795062844,-0.89964359998703
Left PHG parahippocampal gyrus,171,427,0.6772064639048743,-1.203317642211914
Right PIns posterior insula,172,364,0.9893899284838958,-0.039552491158246994
Left PIns posterior insula,173,356,0.9690743378724009,-0.11528545618057251
Right PO parietal operculum,174,322,1.0701362443061655,0.26145562529563904
Left PO parietal operculum,175,396,1.0559688213956258,0.20864197611808777
Right PoG postcentral gyrus,176,1319,1.0506954328388804,0.18898369371891022
Left PoG postcentral gyrus,177,1380,1.0186583556099562,0.06955508887767792
Right POrG posterior orbital gyrus,178,355,1.1140450139877853,0.42513981461524963
Left POrG posterior orbital gyrus,179,370,0.989695613767856,-0.038412950932979584
Right PP planum polare,180,298,0.9087154068056111,-0.34029296040534973
Left PP planum polare,181,339,0.8446195909782548,-0.5792309045791626
Right PrG precentral gyrus,182,1805,1.1676942651267308,0.6251348257064819
Left PrG precentral gyrus,183,1682,1.1419848473112868,0.5292946100234985
Right PT planum temporale,184,260,1.258709318736331,0.9644230604171753
Left PT planum temporale,185,305,1.1193413177193428,0.4448835551738739
Right SCA subcallosal area,186,171,0.8580591619481965,-0.5291305780410767
Left SCA subcallosal area,187,180,0.8164517137040526,-0.6842358708381653
Right SFG superior frontal gyrus,190,2076,1.1743909707818014,0.650098979473114
Left SFG superior frontal gyrus,191,1998,1.0981631412098087,0.3659350275993347
Right SMC supplementary motor cortex,192,758,1.1578267427494298,0.5883504152297974
Left SMC supplementary motor cortex,193,764,1.1456008429458742,0.5427744388580322
Right SMG supramarginal gyrus,194,1157,1.1060746226895155,0.3954276144504547
Left SMG supramarginal gyrus,195,1274,1.0594644805850757,0.2216731756925583
Right SOG superior occipital gyrus,196,466,1.1140075813691013,0.42500030994415283
Left SOG superior occipital gyrus,197,358,1.088439366564745,0.3296864330768585
Right SPL superior parietal lobule,198,1356,1.1305597312686368,0.4867037832736969
Left SPL superior parietal lobule,199,1340,1.043548790305204,0.16234226524829865
Right STG superior temporal gyrus,200,1156,1.0966765167384587,0.36039310693740845
Left STG superior temporal gyrus,201,1073,0.943427765523434,-0.21089139580726624
Right TMP temporal pole,202,1287,0.8663909948073176,-0.49807095527648926
Left TMP temporal pole,203,1282,0.6586178619330018,-1.2726128101348877
Right TrIFG triangular part of the inferior frontal gyrus,204,435,1.1404971260735504,0.5237486362457275
Left TrIFG triangular part of the inferior frontal gyrus,205,376,1.1097589146111975,0.4091619849205017
Right TTG transverse temporal gyrus,206,224,1.3408490064236536,1.270625352859497
Left TTG transverse temporal gyrus,207,263,1.2918830995942017,1.0880889892578125
