Cluster,Voxels,Volume_ml,Peak_Z,Peak_x,Peak_y,Peak_z,Hemisphere,Dominant_ROI,COM_x,COM_y,COM_z
1,333,2.6639999999999997,-3.8726937770843506,26.0,8.0,-2.0,Left,Right Putamen,27.03903903903904,2.12012012012012,-0.9189189189189193
2,276,2.2079999999999997,-2.884748697280884,6.0,-46.0,34.0,Left,Right PCu precuneus,5.753623188405797,-52.528985507246375,34.231884057971016
3,333,2.6639999999999997,-3.6847236156463623,-26.0,0.0,4.0,Right,Left Putamen,-26.444444444444443,0.07807807807807876,-0.5405405405405475
